unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1734652800,2024-12-20 00:00:00,ETH/USDT,3420.7,3429.6,3411.8,3411.8,1.43730010,4903.780481180001
1734566400,2024-12-19 00:00:00,ETH/USDT,3634.8,3718.9,3328.9,3418.0,503.30845432,1720308.29686576
1734480000,2024-12-18 00:00:00,ETH/USDT,3888.0,3900.5,3617.8,3624.9,390.21697135,1414497.499446615
1734393600,2024-12-17 00:00:00,ETH/USDT,3982.6,4049.0,3849.8,3889.2,213.57246740,830626.0402120799
1734307200,2024-12-16 00:00:00,ETH/USDT,3955.5,4101.3,3888.4,3990.1,293.66573757,1171755.659478057
1734220800,2024-12-15 00:00:00,ETH/USDT,3868.7,3971.2,3834.2,3957.3,145.05961120,574044.3994017601
1734134400,2024-12-14 00:00:00,ETH/USDT,3905.7,3943.9,3829.7,3872.2,139.49798675,540164.10429335
1734048000,2024-12-13 00:00:00,ETH/USDT,3893.3,3967.6,3866.1,3911.4,192.67584235,753632.28976779
1733961600,2024-12-12 00:00:00,ETH/USDT,3832.0,3980.0,3798.6,3883.7,231.69672598,899840.574688526
1733875200,2024-12-11 00:00:00,ETH/USDT,3627.6,3846.8,3568.3,3837.0,323.98607450,1243134.5678565
1733788800,2024-12-10 00:00:00,ETH/USDT,3709.1,3776.8,3517.3,3629.4,318.50132919,1155968.724162186
1733702400,2024-12-09 00:00:00,ETH/USDT,3996.6,4000.0,3492.2,3719.5,626.52779353,2330370.128034835
1733616000,2024-12-08 00:00:00,ETH/USDT,3995.0,4013.1,3925.6,4004.5,716.75466775,2870244.067004875
1733529600,2024-12-07 00:00:00,ETH/USDT,3996.9,4023.3,3970.0,4002.4,140.54090622,562500.9230549281
1733443200,2024-12-06 00:00:00,ETH/USDT,3787.9,4082.7,3777.2,4008.9,305.23219822,1223645.359444158
1733356800,2024-12-05 00:00:00,ETH/USDT,3834.1,3950.0,3651.0,3787.1,503.30412068,1906063.0354272278
1733270400,2024-12-04 00:00:00,ETH/USDT,3617.5,3887.4,3615.4,3831.2,396.66414924,1519699.6885682878
1733184000,2024-12-03 00:00:00,ETH/USDT,3638.4,3664.5,3501.5,3613.4,303.76593803,1097627.8404776019
1733097600,2024-12-02 00:00:00,ETH/USDT,3706.8,3756.8,3556.7,3641.9,289.57681319,1054609.795956661
1733011200,2024-12-01 00:00:00,ETH/USDT,3702.8,3746.6,3661.5,3706.1,148.48077178,550284.588293858
1732924800,2024-11-30 00:00:00,ETH/USDT,3590.0,3734.5,3573.7,3708.1,116.18476856,430824.74029733596
1732838400,2024-11-29 00:00:00,ETH/USDT,3577.7,3644.2,3537.4,3598.3,264.60221218,952118.1400872939
1732752000,2024-11-28 00:00:00,ETH/USDT,3656.8,3661.3,3534.2,3581.5,1131.17302487,4051296.1885719053
1732665600,2024-11-27 00:00:00,ETH/USDT,3325.7,3681.8,3305.4,3656.3,3020.20629799,11042780.287340838
1732579200,2024-11-26 00:00:00,ETH/USDT,3412.6,3454.2,3253.5,3323.9,1870.29963392,6216688.953186688
1732492800,2024-11-25 00:00:00,ETH/USDT,3348.0,3546.4,3306.5,3413.2,545.05295311,1860374.7395550518
1732406400,2024-11-24 00:00:00,ETH/USDT,3393.5,3447.0,3281.1,3355.9,222.70615187,747379.575060533
1732320000,2024-11-23 00:00:00,ETH/USDT,3327.7,3494.7,3315.4,3387.7,286.13733072,969347.435280144
1732233600,2024-11-22 00:00:00,ETH/USDT,3359.6,3424.6,3257.5,3327.1,235.15493971,782383.999909141
1732147200,2024-11-21 00:00:00,ETH/USDT,3069.0,3382.3,3035.3,3367.8,371.38852293,1250762.267523654
1732060800,2024-11-20 00:00:00,ETH/USDT,3102.9,3151.1,3035.9,3070.0,276.95264460,850244.6189219999
1731974400,2024-11-19 00:00:00,ETH/USDT,3209.5,3220.8,3071.0,3108.3,159.78493061,496659.499815063
1731888000,2024-11-18 00:00:00,ETH/USDT,3071.5,3225.3,3052.4,3203.1,215.71959061,690971.420682891
1731801600,2024-11-17 00:00:00,ETH/USDT,3135.0,3161.0,3042.5,3078.4,151.32158098,465828.35488883196
1731715200,2024-11-16 00:00:00,ETH/USDT,3087.0,3217.8,3074.2,3132.7,67.65196431,211933.308593937
1731628800,2024-11-15 00:00:00,ETH/USDT,3085.7,3126.4,3014.5,3087.4,239.09220411,738173.270969214
1731542400,2024-11-14 00:00:00,ETH/USDT,3188.0,3237.1,3031.0,3056.0,309.65135852,946294.55163712
1731456000,2024-11-13 00:00:00,ETH/USDT,3251.6,3328.8,3117.4,3188.9,586.00963448,1868726.1233932723
1731369600,2024-11-12 00:00:00,ETH/USDT,3364.6,3442.4,3206.1,3245.1,481.18758792,1561501.841559192
1731283200,2024-11-11 00:00:00,ETH/USDT,3184.2,3384.6,3109.8,3370.9,415.09883155,1399256.651271895
1731196800,2024-11-10 00:00:00,ETH/USDT,3121.2,3248.9,3070.0,3185.3,291.04387984,927062.0704543521
1731110400,2024-11-09 00:00:00,ETH/USDT,2954.5,3149.2,2954.5,3126.3,175.27264156,547954.859309028
1731024000,2024-11-08 00:00:00,ETH/USDT,2897.9,2976.7,2890.0,2961.6,197.55069248,585066.130848768
1730937600,2024-11-07 00:00:00,ETH/USDT,2717.9,2911.7,2700.4,2894.4,218.32427921,631917.793745424
1730851200,2024-11-06 00:00:00,ETH/USDT,2430.9,2741.2,2430.9,2717.1,380.99608528,1035204.463314288
1730764800,2024-11-05 00:00:00,ETH/USDT,2398.0,2472.5,2386.1,2426.9,280.56133034,680894.2926021459
1730678400,2024-11-04 00:00:00,ETH/USDT,2458.0,2488.5,2358.5,2400.4,98.12528294,235539.92916917603
1730592000,2024-11-03 00:00:00,ETH/USDT,2493.2,2494.8,2412.5,2456.7,194.12893004,476916.54242926795
1730505600,2024-11-02 00:00:00,ETH/USDT,2514.9,2519.2,2472.7,2488.4,27.29676440,67925.26853296
1730419200,2024-11-01 00:00:00,ETH/USDT,2521.0,2584.7,2470.3,2512.7,152.86820494,384111.938552738
1730332800,2024-10-31 00:00:00,ETH/USDT,2659.5,2664.7,2509.7,2518.9,320.84132179,808167.205456831
1730246400,2024-10-30 00:00:00,ETH/USDT,2635.6,2720.9,2600.5,2662.2,158.33206622,421511.626690884
1730160000,2024-10-29 00:00:00,ETH/USDT,2568.4,2680.9,2562.4,2636.7,154.47267706,407298.10760410194
1730073600,2024-10-28 00:00:00,ETH/USDT,2508.8,2586.5,2471.7,2567.8,143.44970791,368350.159971298
1729987200,2024-10-27 00:00:00,ETH/USDT,2481.9,2526.0,2466.9,2508.2,28.25239640,70862.66065047999
1729900800,2024-10-26 00:00:00,ETH/USDT,2442.1,2507.1,2430.3,2485.1,50.90451636,126502.813606236
1729814400,2024-10-25 00:00:00,ETH/USDT,2536.1,2564.3,2386.0,2440.8,301.08210429,734881.2001510321
1729728000,2024-10-24 00:00:00,ETH/USDT,2524.5,2560.7,2508.7,2533.8,201.07185248,509475.859813824
1729641600,2024-10-23 00:00:00,ETH/USDT,2622.6,2626.5,2454.4,2526.6,197.81367145,499796.0222855699
1729555200,2024-10-22 00:00:00,ETH/USDT,2665.7,2671.8,2607.2,2624.5,178.27997510,467895.79464995
1729468800,2024-10-21 00:00:00,ETH/USDT,2752.5,2768.4,2658.5,2666.5,147.99026489,394616.04132918495
1729382400,2024-10-20 00:00:00,ETH/USDT,2648.5,2752.7,2636.4,2743.9,82.51536591,226413.912520449
1729296000,2024-10-19 00:00:00,ETH/USDT,2640.8,2657.8,2633.0,2650.4,15.07289466,39949.200006864
1729209600,2024-10-18 00:00:00,ETH/USDT,2602.6,2668.0,2602.6,2642.0,121.67284246,321459.64977932
1729123200,2024-10-17 00:00:00,ETH/USDT,2617.1,2647.4,2581.6,2604.3,155.31781408,404494.18320854404
1729036800,2024-10-16 00:00:00,ETH/USDT,2607.5,2642.3,2590.3,2613.7,72.51598461,189535.028975157
1728950400,2024-10-15 00:00:00,ETH/USDT,2629.8,2675.7,2541.0,2604.3,99.01395064,257862.03165175204
1728864000,2024-10-14 00:00:00,ETH/USDT,2469.9,2652.8,2446.4,2629.9,310.02463010,815333.77469999
1728777600,2024-10-13 00:00:00,ETH/USDT,2476.3,2484.0,2440.2,2467.1,70.33173936,173515.434175056
1728691200,2024-10-12 00:00:00,ETH/USDT,2440.7,2489.7,2434.6,2478.3,66.61747815,165098.096099145
1728604800,2024-10-11 00:00:00,ETH/USDT,2389.2,2464.6,2382.8,2435.3,136.42395738,332233.263407514
1728518400,2024-10-10 00:00:00,ETH/USDT,2375.0,2415.9,2333.7,2381.6,268.49188048,639440.262551168
1728432000,2024-10-09 00:00:00,ETH/USDT,2442.4,2471.7,2357.1,2374.8,177.07017586,420506.25363232807
1728345600,2024-10-08 00:00:00,ETH/USDT,2427.7,2458.4,2402.9,2436.0,85.70675281,208781.64984516
1728259200,2024-10-07 00:00:00,ETH/USDT,2436.8,2518.9,2415.3,2423.8,97.36043991,235982.234253858
1728172800,2024-10-06 00:00:00,ETH/USDT,2415.7,2456.0,2406.9,2441.0,28.32453795,69140.19713595
1728086400,2024-10-05 00:00:00,ETH/USDT,2414.7,2427.7,2389.9,2413.5,62.26458727,150275.581376145
1728000000,2024-10-04 00:00:00,ETH/USDT,2352.2,2440.1,2339.7,2414.0,158.72506774,383162.31352435995
1727913600,2024-10-03 00:00:00,ETH/USDT,2363.9,2398.0,2310.8,2349.5,80.98067451,190264.094761245
1727827200,2024-10-02 00:00:00,ETH/USDT,2448.4,2497.0,2356.7,2364.8,862.91875115,2040630.2627195204
1727740800,2024-10-01 00:00:00,ETH/USDT,2604.9,2656.2,2415.5,2452.8,418.49213054,1026477.497788512
1727654400,2024-09-30 00:00:00,ETH/USDT,2658.6,2658.6,2580.9,2604.0,123.75446313,322256.62199052004
1727568000,2024-09-29 00:00:00,ETH/USDT,2674.2,2684.0,2634.3,2651.4,52.55767224,139351.41217713602
1727481600,2024-09-28 00:00:00,ETH/USDT,2696.8,2702.5,2653.9,2681.2,121.98734255,327072.46284506
1727395200,2024-09-27 00:00:00,ETH/USDT,2631.7,2726.2,2617.5,2695.1,289.15516948,779302.097265548
1727308800,2024-09-26 00:00:00,ETH/USDT,2581.4,2660.5,2560.6,2632.7,244.11040836,642669.472089372
1727222400,2024-09-25 00:00:00,ETH/USDT,2653.0,2672.1,2566.0,2580.7,175.34498765,452512.80962835497
1727136000,2024-09-24 00:00:00,ETH/USDT,2647.4,2668.3,2592.3,2652.8,223.38338994,592591.4568328321
1727049600,2024-09-23 00:00:00,ETH/USDT,2578.4,2700.0,2556.5,2651.2,126.37984352,335058.241140224
1726963200,2024-09-22 00:00:00,ETH/USDT,2614.0,2629.5,2537.9,2575.3,72.99322941,187979.463699573
1726876800,2024-09-21 00:00:00,ETH/USDT,2560.7,2618.8,2529.0,2618.6,71.77243829,187943.306906194
1726790400,2024-09-20 00:00:00,ETH/USDT,2464.0,2574.7,2439.0,2558.8,432.81534391,1107487.9019969082
1726704000,2024-09-19 00:00:00,ETH/USDT,2383.8,2496.8,2375.4,2475.8,167.41436715,414484.49018997006
1726617600,2024-09-18 00:00:00,ETH/USDT,2338.2,2370.2,2282.0,2370.2,63.52270438,150561.513921476
1726531200,2024-09-17 00:00:00,ETH/USDT,2295.5,2393.0,2266.2,2341.4,69.81135020,163456.29535828
1726444800,2024-09-16 00:00:00,ETH/USDT,2320.7,2332.5,2257.9,2295.1,102.38731835,234989.13434508498
1726358400,2024-09-15 00:00:00,ETH/USDT,2419.6,2426.0,2288.0,2321.3,57.36192024,133154.225453112
1726272000,2024-09-14 00:00:00,ETH/USDT,2437.7,2437.7,2378.6,2418.3,91.11115528,220334.10681362404
1726185600,2024-09-13 00:00:00,ETH/USDT,2361.7,2457.5,2338.4,2439.4,50.76562840,123837.67391896
1726099200,2024-09-12 00:00:00,ETH/USDT,2341.4,2391.2,2319.3,2362.0,132.82683069,313736.97408978
1726012800,2024-09-11 00:00:00,ETH/USDT,2384.2,2384.7,2283.7,2344.7,174.94869919,410202.21499079297
